name,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,logCPM,PValue,PAdj_hoc,FDR,falsePos,WT_rep1,WT_rep2,SMC4KD_rep1,SMC4KD_rep2
PBANKA_0210600,5221,7101.25,3340.75,0.470448461037086,-1.08789141460934,7.42211474592678,0.000241565900299655,1,0.0244396964639601,1.19754512673405,7471.8,6730.7,3884.3,2797.2
PBANKA_1036000,3147.3,4235.9,2058.7,0.486084269254327,-1.04072164875921,6.69197879078917,0.000245230749186837,1,0.0244396964639601,1.22198482319801,4150.3,4321.5,2393.8,1723.6
PBANKA_1106100,5995.725,8063.05,3928.4,0.487205469886198,-1.03739776432499,7.621677159268,0.000256210988451749,1,0.0245693242782671,1.25303553819162,8375.6,7750.5,4162.5,3694.3
PBANKA_1427800,2520.875,3386.35,1655.4,0.489051326392185,-1.03194220957567,6.37159347210953,0.000256392707700158,1,0.0245693242782671,1.27760486246989,2922,3850.7,1739.5,1571.3
PBANKA_1118500,2721.525,3622.2,1820.85,0.502786682816578,-0.991981656920745,6.48229584594167,0.000266959565953277,1,0.0250992361725506,1.33025951714518,3448.9,3795.5,1941.3,1700.4
PBANKA_0418100,1985.075,2671,1299.15,0.486667971827056,-1.03899026254895,6.02675696754221,0.000277864830757853,1,0.025413566176922,1.37233257355379,2204.4,3137.6,1311.1,1287.2
PBANKA_1126900,1816.975,2421.25,1212.7,0.500928665160774,-0.997322924094063,5.89974064986838,0.000280502937935121,1,0.025413566176922,1.39774613973071,2399.6,2442.9,1324,1101.4
PBANKA_0610100,2990.475,3999.1,1981.85,0.495541602313488,-1.01292191349603,6.61845950646583,0.000299339653778658,1,0.0266358838353403,1.49160949477906,4288.6,3709.6,2194.6,1769.1
PBANKA_1332800,5559.775,7426.9,3692.65,0.497207144373519,-1.0080810682512,7.51274412715979,0.000314203325401347,1,0.0274679854469283,1.56567517047491,7373.2,7480.6,3681.7,3703.6
PBANKA_1246981,25.6,40.65,10.55,0.259882316869224,-1.9440696228048,-0.157112823536689,0.000369730602451209,1,0.0314120225671209,1.82189730889301,50.6,30.7,13.7,7.4
PBANKA_1319000,11002.2,14931.6,7072.8,0.473720236711193,-1.07789279159951,8.49725853694309,0.000371926416106789,1,0.0314120225671209,1.85330933146013,13222.7,16640.5,8056.2,6089.4
PBANKA_1462700,1148.575,1543.25,753.9,0.488653411369584,-1.03311653151424,5.23818745766029,0.000387664415704035,1,0.0321955297242201,1.93173178345321,1473.2,1613.3,721.2,786.6
PBANKA_1140300,2823.4,3776.75,1870.05,0.495202884244925,-1.0139083775207,6.5354137611833,0.00040838606641654,1,0.0333604552287479,2.03498776895362,3793.3,3760.2,2192,1548.1
PBANKA_0920400,2184.525,2870.15,1498.9,0.522237638318783,-0.93722165665627,6.16553902696618,0.000422027661164804,1,0.0338589099038814,2.09925241404065,2940.1,2800.2,1546.3,1451.5
PBANKA_1208200,8590.075,11494.7,5685.45,0.494598090407443,-1.01567142524651,8.14035417547131,0.000428077729067736,1,0.0338589099038814,2.13311132394453,12158,10831.4,5391.1,5979.8
PBANKA_0925200,3822.325,5044.75,2599.9,0.515352954202498,-0.956367253143181,6.97233432610327,0.000445482387705068,1,0.0346849802802243,2.21983873793435,5140.8,4948.7,2581.8,2618
PBANKA_0205800,13842.175,18595.45,9088.9,0.488764001305144,-1.03279006392687,8.82861876625737,0.000459011062822481,1,0.0351774298189798,2.28653293823369,19992.2,17198.7,10083.4,8094.4
PBANKA_1448700,2737.7,3625.25,1850.15,0.510277862363752,-0.97064504095799,6.49116416529935,0.000478672199164904,1,0.0351774298189798,2.32171036805267,3964.1,3286.4,1997.1,1703.2
PBANKA_0820800,1657.65,2192.95,1122.35,0.511737069768656,-0.966525350235274,5.76762529158723,0.000479069241178127,1,0.0351774298189798,2.35688779787165,2291.1,2094.8,1183.2,1061.5
PBANKA_1230100,6417.675,8836.75,3998.6,0.452466353268861,-1.14411758175665,7.71990439951025,0.000486548753883791,1,0.0351774298189798,2.39206522769063,10429,7244.5,4842.5,3154.7
PBANKA_0831500,1637.175,2170.95,1103.4,0.508467713668241,-0.975771925149752,5.74914804803352,0.000487104687439215,1,0.0351774298189798,2.42724265750961,1964.9,2377,1089.6,1117.2
